Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Cream Sequin Bra and Pant Set, Superwoman, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Auburn Hair, Brown Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, natural breasts, Huggie earrings, soft pink matte lipstick, (peek-a-boo):1.9, (bra outline):0.9
Long-sleeved midi dress with a belt and structured blazer, Black Mesh Bodysuit with Embroidered Flowers, Songstress, Short, Toned, Diamond-Shaped Face, Fair Skin, Chestnut Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Double Braided Crown, full breasts, Stud earrings, soft pink sheer lipstick, (peek-a-boo):1.1, (bra outline):0.8
Halter dresses, Navy Blue Satin Garter Belt with Suspenders , Sensation, Short, Toned, Triangular Face, Tan Skin, Dark Brown Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Short Afro, asymmetrical breasts, red velvet lipstick, (peek-a-boo):1.8, (bra outline):1.1
Maxi dresses, Ivory Lace Teddy, Luminary, Short, Wide Hips, Oval Face, Fair Skin, Silver Hair, dark brown Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Long Curled Updo, full breasts, Stud earrings, mauve stain lipstick, (peek-a-boo):1.2, (bra outline):0.8
Caftans, Navy Blue Satin Garter Belt with Suspenders , Artist, Short, Toned, Diamond-Shaped Face, Fair Skin, Light Brown Hair, blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Waterfall Braid, augmented breasts, Faux gauge earrings, green sheer lipstick, (peek-a-boo):1.3, (bra outline):1.0
Knee-length skirt suit in a neutral color, Red Lace Bra and Panty Set with Garter Belt, Woman, Tall, Fit, Oval Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, large breasts, Dangle earrings, black gloss lipstick, (peek-a-boo):1.7, (bra outline):1.2
Fit-and-flare dresses, Yellow Lace Halter Bralette and Thong Set, Starlet, Tall, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, pink Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Fringed Bangs, small breasts, Threader earrings, plum matte lipstick, (peek-a-boo):1.5, (bra outline):1.2
Maxi dresses, Blue Satin and Lace Cami and Short Set, Starlet, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Blonde Hair, Brown Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Tapered Afro, saggy breasts, Clip-on earrings, coral sheer lipstick, (peek-a-boo):1.9, (bra outline):1.0
Button-front midi skirt with a ribbed knit top and kitten heels, Green Sequin Slip Dress with Thigh-High Slits, Madame, Average Height, Slim, Oval Face, Olive Skin, Light Brown Hair, amber Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Blunt Cut Bangs, full breasts, Drop earrings, rose satin lipstick, (peek-a-boo):1.0, (bra outline):0.7
Jumpsuits, Red Satin Kimono with Lace Sleeve Detail, Maven, Tall, Skinny, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Formal Updo, round breasts, Threader earrings, pink stain lipstick, (peek-a-boo):1.7, (bra outline):1.2
Shift dress with a blazer, Black Lace Bustier, Lady, Short, Athletic, Triangular Face, Tan Skin, Chestnut Hair, Hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Straight Bob, natural breasts, Faux gauge earrings, green cream lipstick, (peek-a-boo):1.9, (bra outline):0.7
Flared pants with a matching blazer and pointy-toe flats, Turquoise Sheer Chemise with Cutouts, Songstress, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Gray Hair, yellow Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Wavy Bob, natural breasts, golden sheer lipstick, (peek-a-boo):1.2, (bra outline):0.9
T-shirt dresses, Blue Strappy Bodysuit with Cutouts, Woman, Tall, Wide Hips, Square Face, Dark Skin, Light Brown Hair, red Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, augmented breasts, Huggie earrings, golden sheer lipstick, (peek-a-boo):1.4, (bra outline):1.2
Wide-legged dress pants with a colorful blouse, White Satin and Lace Bra and Panty Set, Babe, Short, Lean, Round Face, Olive Skin, White Hair, green Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, perky breasts, Threader earrings, terracotta matte lipstick, (peek-a-boo):1.9, (bra outline):0.8
Tweed blazer with matching skirt, Pink Floral Corset, Gal, Tall, Fit, Round Face, Fair Skin, Silver Hair, Hazel Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Chignon, small breasts, Drop earrings, red velvet lipstick, (peek-a-boo):1.2, (bra outline):1.0
Wrap dresses, Red Satin Babydoll, Sensation, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, jade Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Waterfall Braid, asymmetrical breasts, Faux gauge earrings, soft pink matte lipstick, (peek-a-boo):1.6, (bra outline):1.1
Long-sleeved midi dress with a belt and structured blazer, Black Lace Bustier, Woman, Tall, Toned, Oval Face, Tan Skin, Black Hair, teal Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Viking Braid, full breasts, peach gloss lipstick, (peek-a-boo):1.2, (bra outline):1.1
Strapless dresses, Tan Faux Leather Slip Dress, Babe, Average Height, Skinny, Triangular Face, Dark Skin, Strawberry Blonde Hair, Brown Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Tousled Waves, natural breasts, Clip-on earrings, violet metallic lipstick, (peek-a-boo):1.2, (bra outline):1.2
Fit-and-flare dresses, Purple Velvet Bra and Panty Set with Lace Trim, Charmer, Tall, Narrow Hips, Round Face, Dark Skin, Brunette Hair, Green Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Curly Hair, Formal Braided Updo, firm breasts, Threader earrings, grape matte lipstick, (peek-a-boo):1.6, (bra outline):0.9
Shift dresses, White Sheer Teddy with Lace Trim, Mistress, Tall, Toned, Oval Face, Olive Skin, Chestnut Hair, green Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, large breasts, Dangle earrings, lavender cream lipstick, (peek-a-boo):1.6, (bra outline):1.2
Sundresses, Blue Satin and Lace Cami and Short Set, Seductress, Tall, Firm, Heart-Shaped Face, Dark Skin, Auburn Hair, jade Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Twisted Bun, natural breasts, Drop earrings, gloss metallic lipstick, (peek-a-boo):1.1, (bra outline):1.1
Spaghetti strap dresses, Yellow Lace Halter Bralette and Thong Set, Trailblazer, Tall, Athletic, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Wavy Hair, Double Braided Crown, round breasts, Clip-on earrings, burgundy velvet lipstick, (peek-a-boo):1.4, (bra outline):1.2
Long-sleeved midi dress with a belt and structured blazer, Purple Velvet Slip with Lace Trim, Woman, Average Height, Slim, Triangular Face, Tan Skin, Brunette Hair, Hazel Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Braided Half Up, firm breasts, Faux gauge earrings, mauve velvet lipstick, (peek-a-boo):1.7, (bra outline):1.1
Linen blazer with ankle-length trousers and block heels, Crimson Velvet Cami and Short Set , Femme fatale, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, light blue Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Fringed Bangs, saggy breasts, mauve sheer lipstick, (peek-a-boo):1.0, (bra outline):0.8
Flared pants with a matching blazer and pointy-toe flats, White Sheer Teddy with Lace Trim, Chanteuse, Short, Wide Hips, Oval Face, Tan Skin, Platinum Blonde Hair, silver Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, High Chignon, large breasts, Faux gauge earrings, magenta velvet lipstick, (peek-a-boo):1.1, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Red Mesh Chemise with Strappy Back Detail, Siren, Short, Thin, Diamond-Shaped Face, Olive Skin, White Hair, ruby Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Stacked Bob, small breasts, Cuff earrings, rust matte lipstick, (peek-a-boo):1.3, (bra outline):0.9
High-waisted pants with a tucked-in blouse and statement necklace, Teal Velvet Chemise with Ruffles , Maven, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Red Hair, light blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Waves, small breasts, pink cream lipstick, (peek-a-boo):1.8, (bra outline):0.8
Rompers, Brown Strappy Bodysuit, Miss, Tall, Lean, Diamond-Shaped Face, Olive Skin, Blonde Hair, brown Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, augmented breasts, Faux gauge earrings, soft pink cream lipstick, (peek-a-boo):1.3, (bra outline):1.1
Sheath dress with a collarless blazer and statement earrings, Crimson Velvet Cami and Short Set , Madame, Short, Fit, Square Face, Tan Skin, Chestnut Hair, Blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Dutch Braid, soft breasts, terracotta matte lipstick, (peek-a-boo):1.5, (bra outline):0.9
Silk wrap dress with a fitted blazer, Purple Velvet Slip with Lace Trim, Babe, Short, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, jade Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Frohawk, large breasts, Stud earrings, hot pink cream lipstick, (peek-a-boo):1.8, (bra outline):0.9
Halter dresses, Mint Green Mesh Teddy , Female Warrior, Short, Athletic, Square Face, Dark Skin, Dark Brown Hair, red Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Twisted Bun, asymmetrical breasts, Dangle earrings, violet satin lipstick, (peek-a-boo):1.3, (bra outline):1.0
Silk wrap dress with a fitted blazer, Orange Satin Slip, Queen, Tall, Toned, Oval Face, Fair Skin, Brunette Hair, coral Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, High Messy Bun, soft breasts, Faux gauge earrings, cherry gloss lipstick, (peek-a-boo):1.6, (bra outline):1.1
Sheath dress with a collarless blazer and statement earrings, Yellow Lace Garter Belt , Femme fatale, Average Height, Slim, Square Face, Tan Skin, Golden Blonde Hair, black Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Bun, perky breasts, Clip-on earrings, beige matte lipstick, (peek-a-boo):1.5, (bra outline):1.0
Shift dress with a blazer, Purple Mesh Babydoll with Matching G-String, Seductress, Tall, Wide Hips, Round Face, Fair Skin, Platinum Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, asymmetrical breasts, beige cream lipstick, (peek-a-boo):1.5, (bra outline):1.1
Sleeveless dresses, Purple Mesh Babydoll with Matching G-String, Sensation, Tall, Thin, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, grey-blue Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, natural breasts, Stud earrings, teal metallic lipstick, (peek-a-boo):2.0, (bra outline):1.1
Maxi dresses, Black Leather Bralette and Panty Set, Woman, Short, Thin, Diamond-Shaped Face, Dark Skin, Brunette Hair, turquoise Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, small breasts, Clip-on earrings, cherry satin lipstick, (peek-a-boo):1.0, (bra outline):0.8
Maxi dresses, Pink Floral Corset, Gal, Average Height, Narrow Hips, Round Face, Fair Skin, Red Hair, ruby Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Straight Bob with Layers, perky breasts, Drop earrings, lavender cream lipstick, (peek-a-boo):1.9, (bra outline):0.9
Tweed blazer with matching skirt, White Lace Bralette and Boyshorts Set, Baroness, Average Height, Slim, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, Sapphire Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Low Messy Bun, asymmetrical breasts, Stud earrings, teal sheer lipstick, (peek-a-boo):1.9, (bra outline):0.7
Long-sleeve dresses, White Sheer Teddy with Lace Trim, Artist, Average Height, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, ruby Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Sleek Straight Hair, perky breasts, Threader earrings, rust sheer lipstick, (peek-a-boo):1.3, (bra outline):0.8
Sun dresses, Pink Lace Chemise with Ruffle Details, Femme fatale, Average Height, Slim, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, Amber Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Sleek Straight Hair, large breasts, Hoop earrings, lavender matte lipstick, (peek-a-boo):1.0, (bra outline):0.7
Floral blouse with a fitted pencil skirt and ankle boots, Black Cutout Bodysuit with Zipper, Goddess, Average Height, in shape, Heart-Shaped Face, Tan Skin, Auburn Hair, coral Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Thick Hair, Afro, augmented breasts, Stud earrings, peach cream lipstick, (peek-a-boo):1.5, (bra outline):1.0
Wrap dresses, Gold Mesh Bra and Panty Set with Garter Belt, Starlet, Average Height, Fit, Triangular Face, Dark Skin, Golden Blonde Hair, Green Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Afro, small breasts, Stud earrings, rose gloss lipstick, (peek-a-boo):1.7, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Crimson Velvet Cami and Short Set , Woman, Tall, Firm, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, Amber Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Braid, firm breasts, Drop earrings, mauve velvet lipstick, (peek-a-boo):2.0, (bra outline):0.8
Knee-length skirt suit in a neutral color, White Sheer Teddy with Lace Trim, Phenom, Short, Slim, Round Face, Dark Skin, Brunette Hair, dark brown Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, round breasts, Threader earrings, coral stain lipstick, (peek-a-boo):1.3, (bra outline):1.1
Button-front midi skirt with a ribbed knit top and kitten heels, Green Sequin Slip Dress with Thigh-High Slits, Goddess, Short, Skinny, Round Face, Tan Skin, White Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, French Roll, perky breasts, Clip-on earrings, cream cream lipstick, (peek-a-boo):1.8, (bra outline):1.0
Fit-and-flare dresses, Green Satin Robe with Lace Trim, Maven, Average Height, in shape, Oval Face, Fair Skin, Dark Brown Hair, ice blue Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Braided Updo, round breasts, Stud earrings, golden metallic lipstick, (peek-a-boo):1.2, (bra outline):0.9
Strapless dresses, White Lace Bralette and Boyshorts Set, Diva, Short, Skinny, Oval Face, Tan Skin, White Hair, coral Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, saggy breasts, Dangle earrings, gloss velvet lipstick, (peek-a-boo):1.1, (bra outline):0.8
Rompers, Green Sequin Slip Dress with Thigh-High Slits, Seductress, Tall, Slim, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, Amber Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Low Chignon, asymmetrical breasts, Dangle earrings, rust matte lipstick, (peek-a-boo):1.6, (bra outline):1.1
Silk wrap dress with a fitted blazer, Grey Faux Leather Corset , Superwoman, Short, Toned, Square Face, Olive Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Ballerina Bun, round breasts, Stud earrings, light pink gloss lipstick, (peek-a-boo):1.2, (bra outline):1.2
Long-sleeved midi dress with a belt and structured blazer, Teal Velvet Chemise with Ruffles , Enchantress, Average Height, Thin, Round Face, Fair Skin, Silver Hair, black Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Sleek Waves, augmented breasts, Huggie earrings, cream cream lipstick, (peek-a-boo):1.3, (bra outline):0.9
Rompers, Mint Green Mesh Teddy , Escort, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, jade Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Loose Waves, firm breasts, Faux gauge earrings, terracotta stain lipstick, (peek-a-boo):1.1, (bra outline):0.8
Button-front midi skirt with a ribbed knit top and kitten heels, Purple Velvet Robe with Fur Trim , Maven, Tall, Firm, Oval Face, Fair Skin, Black Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, small breasts, Dangle earrings, green metallic lipstick, (peek-a-boo):1.0, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Blue Sheer Babydoll with Satin Trim, Lady, Short, Lean, Square Face, Dark Skin, Auburn Hair, green Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Braided Updo, full breasts, Drop earrings, orange satin lipstick, (peek-a-boo):1.6, (bra outline):1.2
Tweed blazer with matching skirt, Silver Silk Bra and Panty Set with Garter Belt, Trailblazer, Short, Firm, Triangular Face, Tan Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Straight Updo, firm breasts, Stud earrings, cherry velvet lipstick, (peek-a-boo):1.1, (bra outline):1.3
Caftans, Maroon Satin and Lace Corset , Maven, Tall, Toned, Round Face, Tan Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Voluminous Waves, augmented breasts, Huggie earrings, gloss gloss lipstick, (peek-a-boo):1.3, (bra outline):1.1
Sun dresses, Black Mesh Bodysuit with Embroidered Flowers, Seductress, Short, Lean, Round Face, Fair Skin, Black Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Chignon, large breasts, Hoop earrings, terracotta velvet lipstick, (peek-a-boo):2.0, (bra outline):0.7
Maxi dresses, Pink Lace Garter Slip with Matching Thong, Heiress, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, Green Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Sleek Straight Hair, round breasts, Hoop earrings, rose matte lipstick, (peek-a-boo):1.7, (bra outline):0.8
Shift dress with a blazer, Blue Strappy Bodysuit with Cutouts, Seductress, Tall, Wide Hips, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, small breasts, Faux gauge earrings, mauve cream lipstick, (peek-a-boo):2.0, (bra outline):1.1
Wrap dresses, Lavender Lace Bra and Panty Set , Seductress, Short, Slim, Diamond-Shaped Face, Olive Skin, Blonde Hair, pink Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Afro, augmented breasts, Hoop earrings, magenta sheer lipstick, (peek-a-boo):1.7, (bra outline):1.1
Strapless dresses, Green Satin and Lace Garter Belt with Matching Thong, Duchess, Average Height, Wide Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, turquoise Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Long Straight Hair, saggy breasts, Dangle earrings, brown stain lipstick, (peek-a-boo):1.4, (bra outline):0.9
Sheath dress with a collarless blazer and statement earrings, Gold Strappy Bodysuit, Vixen, Tall, Narrow Hips, Square Face, Olive Skin, Silver Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fishtail Braid, soft breasts, Dangle earrings, brown sheer lipstick, (peek-a-boo):1.2, (bra outline):1.2
Sophisticated jumpsuit with a jacket, Silver Silk Bra and Panty Set with Garter Belt, Songstress, Tall, Skinny, Oval Face, Dark Skin, Brunette Hair, ice blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Waterfall Braid, natural breasts, Threader earrings, light pink gloss lipstick, (peek-a-boo):1.7, (bra outline):0.8
Sundresses, Gold Mesh Bra and Panty Set with Garter Belt, Starlet, Tall, Wide Hips, Heart-Shaped Face, Tan Skin, Silver Hair, brown Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Triple Braided Crown, asymmetrical breasts, Hoop earrings, cherry matte lipstick, (peek-a-boo):1.2, (bra outline):1.1
Spaghetti strap dresses, Blue Sheer Babydoll with Satin Trim, Mistress, Average Height, Toned, Square Face, Fair Skin, White Hair, purple Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Long Curled Updo, large breasts, Huggie earrings, cream matte lipstick, (peek-a-boo):1.5, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Pink Floral Corset, Queen, Tall, in shape, Triangular Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Angled Bob, natural breasts, Drop earrings, brown matte lipstick, (peek-a-boo):1.1, (bra outline):1.2
Short dresses, Cream Sequin Bra and Pant Set, Madame, Short, Thin, Square Face, Fair Skin, Brunette Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Short Afro, perky breasts, Threader earrings, hot pink matte lipstick, (peek-a-boo):1.6, (bra outline):1.1
Off-the-shoulder dresses, Black Sheer Teddy with Floral Applique, Artist, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Black Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Long Straight Hair, soft breasts, Hoop earrings, black velvet lipstick, (peek-a-boo):1.6, (bra outline):1.0
Pencil skirt with a tucked-in blouse and blazer, Yellow Mesh Bralette and High-Waisted Panty Set, Siren, Tall, Fit, Oval Face, Olive Skin, Gray Hair, grey Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, perky breasts, Cuff earrings, magenta metallic lipstick, (peek-a-boo):1.8, (bra outline):1.1
Long-sleeve dresses, Green Satin Robe with Lace Trim, Luminary, Tall, Slim, Square Face, Tan Skin, Strawberry Blonde Hair, ice blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Wavy Layered Bob, small breasts, Huggie earrings, green sheer lipstick, (peek-a-boo):1.3, (bra outline):1.2
Off-the-shoulder dresses, Plum Satin and Lace Bustier , Femme fatale, Average Height, Toned, Round Face, Dark Skin, White Hair, Amber Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Wavy Updo, large breasts, Huggie earrings, fuchsia sheer lipstick, (peek-a-boo):1.7, (bra outline):1.2
Long-sleeve dresses, Red Satin Kimono with Lace Sleeve Detail, Dame, Short, Toned, Oval Face, Dark Skin, Honey Blonde Hair, yellow Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Ballerina Bun, saggy breasts, Cuff earrings, rust cream lipstick, (peek-a-boo):1.4, (bra outline):0.9
Sleeveless dresses, Turquoise Sheer Chemise with Cutouts, Gal, Tall, Fit, Oval Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Bob with Bangs, asymmetrical breasts, Hoop earrings, red sheer lipstick, (peek-a-boo):1.7, (bra outline):1.1
Linen blazer with ankle-length trousers and block heels, Lavender Lace Bra and Panty Set , Escort, Short, Lean, Oval Face, Fair Skin, Blonde Hair, hazel Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, natural breasts, Dangle earrings, magenta gloss lipstick, (peek-a-boo):1.8, (bra outline):0.8
Short dresses, Green Satin and Lace Garter Belt with Matching Thong, Superwoman, Short, Slim, Heart-Shaped Face, Olive Skin, Red Hair, blue Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Updo, soft breasts, Drop earrings, fuchsia sheer lipstick, (peek-a-boo):1.6, (bra outline):0.9
Wide-legged dress pants with a colorful blouse, Ivory Lace Teddy, Gal, Short, Firm, Square Face, Olive Skin, Gray Hair, brown Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Fancy Updo, asymmetrical breasts, Dangle earrings, terracotta stain lipstick, (peek-a-boo):1.7, (bra outline):1.0
Tweed blazer with matching skirt, Black Lace Bustier, Temptress, Tall, Athletic, Heart-Shaped Face, Olive Skin, Black Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, full breasts, Cuff earrings, hot pink velvet lipstick, (peek-a-boo):1.6, (bra outline):0.7
Button-front midi skirt with a ribbed knit top and kitten heels, Red Satin Babydoll, Superwoman, Tall, Slim, Round Face, Fair Skin, Brunette Hair, grey Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Frohawk, saggy breasts, Drop earrings, plum gloss lipstick, (peek-a-boo):1.2, (bra outline):0.7
Shift dress with a blazer, Maroon Satin and Lace Corset , Songstress, Average Height, Firm, Triangular Face, Tan Skin, Chestnut Hair, pink Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Straight Hair, Half Up Half Down, natural breasts, Stud earrings, grape gloss lipstick, (peek-a-boo):1.5, (bra outline):0.8
Strapless dresses, Red Satin Babydoll, Maven, Short, Wide Hips, Heart-Shaped Face, Dark Skin, White Hair, light blue Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Updo, round breasts, Cuff earrings, golden gloss lipstick, (peek-a-boo):2.0, (bra outline):0.8
Rompers, Green Silk Bralette and Panty Set, Enigma, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Brunette Hair, Green Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, soft breasts, Cuff earrings, hot pink stain lipstick, (peek-a-boo):1.6, (bra outline):1.3
Sundresses, Blue Sheer Babydoll with Satin Trim, Sensation, Tall, in shape, Diamond-Shaped Face, Tan Skin, Brunette Hair, pink Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Short Afro, asymmetrical breasts, Dangle earrings, hot pink matte lipstick, (peek-a-boo):1.1, (bra outline):0.9
