Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, Submerged in Quicksand
Black Cutout Bodysuit with Zipper, Female Warrior, Average Height, Toned, Triangular Face, Fair Skin, Light Brown Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Long Straight Hair, round breasts, Huggie earrings, fuchsia cream lipstick, Marinating in Mud
Black Leather Bralette and Panty Set, Trailblazer, Short, Lean, Oval Face, Olive Skin, Red Hair, amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Side-Swept Bangs, natural breasts, Hoop earrings, hot pink cream lipstick, Saturated in Soda
Brown Strappy Bodysuit, Enchantress, Tall, Fit, Diamond-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, small breasts, Huggie earrings, mauve cream lipstick, Soaking in Foam
Brown Strappy Bodysuit, Trailblazer, Average Height, in shape, Triangular Face, Tan Skin, Dark Brown Hair, ruby Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Wavy Updo, round breasts, Stud earrings, mauve gloss lipstick, Steeped in Quicksand
Black Mesh Bodysuit with Embroidered Flowers, Trailblazer, Short, Thin, Square Face, Olive Skin, Platinum Blonde Hair, ruby Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Long Wavy Hair, perky breasts, Stud earrings, black satin lipstick, Smothered in Quicksand
Fuchsia Mesh Halter Bra and Panty Set, Diva, Tall, Toned, Oval Face, Fair Skin, Platinum Blonde Hair, amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, asymmetrical breasts, Dangle earrings, grape sheer lipstick, Coated in Bubble solution
Ivory Lace Teddy, Vixen, Short, Narrow Hips, Round Face, Fair Skin, Red Hair, purple Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Messy Bun, augmented breasts, Drop earrings, light pink gloss lipstick, Smothered in Milk
Orange Satin Slip, Belle, Short, Thin, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, perky breasts, Drop earrings, rose sheer lipstick, Immersed in Cooking oil
Fuchsia Mesh Halter Bra and Panty Set, Babe, Tall, Fit, Square Face, Olive Skin, Brunette Hair, pink Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, asymmetrical breasts, Faux gauge earrings, beige stain lipstick, Steeped in Foam
Crimson Velvet Cami and Short Set , Charmer, Short, Thin, Square Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Four-Strand Braid, natural breasts, Stud earrings, brown gloss lipstick, Drenched in Water
Maroon Satin and Lace Corset , Female Viking, Short, Athletic, Oval Face, Fair Skin, Auburn Hair, Sapphire Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Bouncy Curls, firm breasts, cream velvet lipstick, Surrounded by Baby oil
Grey Faux Leather Corset , Enigma, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Chestnut Hair, Blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Dutch Braid, large breasts, Huggie earrings, grape satin lipstick, Coated in Baby oil
Black Lace Bustier, Phenom, Short, Thin, Square Face, Tan Skin, Black Hair, black Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Fancy Updo, augmented breasts, Cuff earrings, green matte lipstick, Steeped in Syrup
Blue Sheer Babydoll with Satin Trim, Sensation, Average Height, Thin, Square Face, Dark Skin, Red Hair, Amber Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Wavy Updo, saggy breasts, Cuff earrings, soft pink matte lipstick, Steeped in Liquid soap
Black Sheer Teddy with Floral Applique, Madame, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Silver Hair, hazel Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Straight Bob with Layers, saggy breasts, Dangle earrings, rust matte lipstick, Surrounded by Ball pit filled with water beads
Purple Mesh Babydoll with Matching G-String, Female Warrior, Tall, Athletic, Square Face, Fair Skin, Auburn Hair, amber Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Afro, perky breasts, red satin lipstick, Drenched in Cooking oil
Crimson Velvet Cami and Short Set , Mistress, Tall, Thin, Heart-Shaped Face, Fair Skin, Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Twisted Bun, small breasts, Huggie earrings, fuchsia cream lipstick, Plunged in Liquid soap
Red Satin Kimono with Lace Sleeve Detail, Chanteuse, Tall, Fit, Triangular Face, Tan Skin, White Hair, yellow Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Low Chignon, saggy breasts, Dangle earrings, gloss satin lipstick, Saturated in Foam
Pink Floral Corset, Visionary, Tall, Athletic, Round Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Rope Braid, asymmetrical breasts, beige satin lipstick, Soaking in Glycerin
Black Leather Bralette and Panty Set, Chanteuse, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Brunette Hair, turquoise Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, French Roll, natural breasts, Faux gauge earrings, gloss velvet lipstick, Drenched in Water
Olive Green Mesh Garter Belt with Stockings, Enigma, Average Height, Fit, Triangular Face, Tan Skin, Auburn Hair, purple Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Curled Bob, small breasts, Hoop earrings, soft pink sheer lipstick, Marinating in Non-toxic slime
Black Cutout Bodysuit with Zipper, Siren, Average Height, Narrow Hips, Oval Face, Fair Skin, Light Brown Hair, turquoise Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, large breasts, Hoop earrings, grape sheer lipstick, Coated in Non-toxic slime
Ivory Lace Teddy, Superwoman, Tall, Lean, Round Face, Fair Skin, Brunette Hair, ruby Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown, augmented breasts, pink velvet lipstick, Surrounded by Gelatin
Black Cutout Bodysuit with Zipper, Sensation, Tall, in shape, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, French Braid, saggy breasts, Clip-on earrings, hot pink sheer lipstick, Marinating in Soda
Mint Green Mesh Teddy , Luminary, Average Height, Thin, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Gray Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sock Bun, perky breasts, Cuff earrings, burgundy matte lipstick, Drenched in Milk
Navy Blue Satin Garter Belt with Suspenders , Woman, Tall, Narrow Hips, Round Face, Dark Skin, Honey Blonde Hair, coral Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, perky breasts, Dangle earrings, gloss sheer lipstick, Marinating in Ball pit filled with water beads
Purple Velvet Bra and Panty Set with Lace Trim, Sensation, Short, Slim, Square Face, Fair Skin, Red Hair, blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, French Roll, asymmetrical breasts, Stud earrings, coral gloss lipstick, Drenched in Foam
Maroon Satin and Lace Corset , Starlet, Tall, Narrow Hips, Oval Face, Fair Skin, Red Hair, pink Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Smooth Waves, natural breasts, Faux gauge earrings, red cream lipstick, Smothered in Baby oil
Green Satin and Lace Garter Belt with Matching Thong, Heiress, Average Height, Narrow Hips, Round Face, Fair Skin, Dark Brown Hair, red Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Braid, small breasts, Huggie earrings, magenta satin lipstick, Saturated in Quicksand
Black Mesh Bodysuit with Embroidered Flowers, Belle, Average Height, Wide Hips, Round Face, Olive Skin, White Hair, brown Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Fishtail Braid, natural breasts, Hoop earrings, violet stain lipstick, Submerged in Ball pit filled with water beads
Green Satin Robe with Lace Trim, Baroness, Short, Skinny, Oval Face, Tan Skin, Silver Hair, turquoise Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, soft breasts, Clip-on earrings, coral stain lipstick, Smothered in Bubble solution
Red Satin Kimono with Lace Sleeve Detail, Femme fatale, Tall, Toned, Triangular Face, Olive Skin, Auburn Hair, hazel Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, High Chignon, perky breasts, Clip-on earrings, grape stain lipstick, Steeped in Cooking oil
Pink Floral Corset, Visionary, Tall, Slim, Heart-Shaped Face, Olive Skin, Dark Brown Hair, turquoise Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Messy Bun, firm breasts, Dangle earrings, cream velvet lipstick, Immersed in Foam
Orange Satin Slip, Chanteuse, Tall, Slim, Heart-Shaped Face, Olive Skin, White Hair, turquoise Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Chignon, full breasts, Faux gauge earrings, soft pink velvet lipstick, Submerged in Glycerin
Lavender Lace Bra and Panty Set , Superwoman, Tall, Toned, Heart-Shaped Face, Olive Skin, Blonde Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Long Curly Hair, augmented breasts, Hoop earrings, cherry cream lipstick, Marinating in Ball pit filled with water beads
Olive Green Mesh Garter Belt with Stockings, Phenom, Tall, Lean, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Amber Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Blunt Cut Bangs, firm breasts, Faux gauge earrings, brown metallic lipstick, Immersed in Ball pit filled with water beads
Black Cutout Bodysuit with Zipper, Sensation, Average Height, Athletic, Triangular Face, Fair Skin, Auburn Hair, hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Middle Part Bangs, natural breasts, Dangle earrings, black cream lipstick, Immersed in Foam
Black Mesh Bodysuit with Embroidered Flowers, Visionary, Tall, Slim, Round Face, Tan Skin, Light Brown Hair, yellow Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Updo, perky breasts, Faux gauge earrings, teal satin lipstick, Immersed in Cooking oil
Red Satin Babydoll, Superwoman, Tall, Athletic, Diamond-Shaped Face, Fair Skin, Gray Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Curly Hair, Smooth Waves, perky breasts, Stud earrings, soft pink matte lipstick, Immersed in Soda
Crimson Velvet Cami and Short Set , Luminary, Tall, Thin, Round Face, Tan Skin, Chestnut Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Fine Hair, French Braid, asymmetrical breasts, Clip-on earrings, brown sheer lipstick, Plunged in Glycerin
Navy Blue Satin Garter Belt with Suspenders , Lady, Short, Athletic, Oval Face, Fair Skin, Red Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Bun, saggy breasts, Faux gauge earrings, rust stain lipstick, Engulfed in Quicksand
Plum Satin and Lace Bustier , Female Warrior, Average Height, in shape, Oval Face, Olive Skin, Black Hair, jade Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, small breasts, Huggie earrings, black cream lipstick, Submerged in Water
Black Sheer Teddy with Floral Applique, Trailblazer, Tall, in shape, Triangular Face, Tan Skin, Strawberry Blonde Hair, yellow Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Blunt Bangs, large breasts, Faux gauge earrings, gloss gloss lipstick, Coated in Gelatin
Olive Green Mesh Garter Belt with Stockings, Madam, Tall, in shape, Square Face, Fair Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Messy Bun, small breasts, Threader earrings, peach metallic lipstick, Floating in Gelatin
Navy Blue Satin Garter Belt with Suspenders , Starlet, Short, Firm, Round Face, Olive Skin, Blonde Hair, amethyst Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, French Twist, soft breasts, Stud earrings, beige sheer lipstick, Immersed in Cooking oil
Black Mesh Bodysuit with Embroidered Flowers, Babe, Average Height, Slim, Triangular Face, Fair Skin, Red Hair, coral Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Blunt Cut Bangs, augmented breasts, Threader earrings, fuchsia gloss lipstick, Engulfed in Syrup
White Sheer Teddy with Lace Trim, Dame, Tall, Skinny, Round Face, Dark Skin, Chestnut Hair, purple Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, soft breasts, Hoop earrings, cherry satin lipstick, Surrounded by Foam
Maroon Satin and Lace Corset , Female Warrior, Average Height, Skinny, Square Face, Fair Skin, Auburn Hair, blue Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Loose Curls, round breasts, Cuff earrings, black metallic lipstick, Immersed in Glycerin
Pink Lace Garter Slip with Matching Thong, Chanteuse, Short, Narrow Hips, Oval Face, Dark Skin, Black Hair, teal Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Fine Hair, Messy Beach Waves, augmented breasts, Cuff earrings, black satin lipstick, Drenched in Gelatin
Orange Satin Slip, Enigma, Short, Lean, Square Face, Tan Skin, Gray Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Thick Hair, Fauxhawk, soft breasts, Drop earrings, pink velvet lipstick, Saturated in Soda
Orange Satin Slip, Visionary, Tall, Fit, Oval Face, Olive Skin, Chestnut Hair, Brown Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Sleek Bun, soft breasts, Dangle earrings, burgundy satin lipstick, Engulfed in Non-toxic slime
Pink Lace Garter Slip with Matching Thong, Chanteuse, Short, Fit, Square Face, Olive Skin, Light Brown Hair, ice blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Loose Curls, natural breasts, Cuff earrings, green sheer lipstick, Soaking in Quicksand
White Satin and Lace Bra and Panty Set, Songstress, Average Height, Athletic, Oval Face, Olive Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Tapered Afro, round breasts, Faux gauge earrings, orange metallic lipstick, Drenched in Milk
Gold Mesh Bra and Panty Set with Garter Belt, Seductress, Average Height, Skinny, Heart-Shaped Face, Olive Skin, White Hair, Hazel Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Half Up Half Down, large breasts, Clip-on earrings, black satin lipstick, Smothered in Glycerin
White Sheer Teddy with Lace Trim, Female Warrior, Tall, Lean, Diamond-Shaped Face, Tan Skin, White Hair, green Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Headband, small breasts, cream satin lipstick, Submerged in Non-toxic slime
Green Satin Robe with Lace Trim, Enchantress, Average Height, Narrow Hips, Diamond-Shaped Face, Tan Skin, Silver Hair, Blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Chignon, firm breasts, Drop earrings, coral stain lipstick, Marinating in Milk
Pink Lace Garter Slip with Matching Thong, Sensation, Short, Toned, Triangular Face, Fair Skin, Blonde Hair, amethyst Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Blunt Bangs, soft breasts, Clip-on earrings, peach sheer lipstick, Floating in Glycerin
Crimson Velvet Cami and Short Set , Seductress, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Long Wavy Hair, natural breasts, Threader earrings, green sheer lipstick, Steeped in Ball pit filled with water beads
Charcoal Sheer Bra and Panty Set, Mistress, Tall, in shape, Heart-Shaped Face, Dark Skin, Blonde Hair, dark brown Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Fine Hair, Shoulder-Length Curls, round breasts, Stud earrings, beige metallic lipstick, Floating in Saltwater
Pink Floral Corset, Miss, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, Black Hair, ruby Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Swept Bangs, perky breasts, Huggie earrings, peach velvet lipstick, Engulfed in Soda
Red Lace Bra and Panty Set with Garter Belt, Phenom, Short, Toned, Square Face, Dark Skin, Black Hair, Gray Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, augmented breasts, Drop earrings, grape matte lipstick, Coated in Saltwater
Black Cutout Bodysuit with Zipper, Gal, Short, Narrow Hips, Round Face, Olive Skin, Golden Blonde Hair, grey Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Updo, round breasts, Huggie earrings, plum stain lipstick, Smothered in Saltwater
Maroon Satin and Lace Corset , Woman, Tall, Thin, Triangular Face, Olive Skin, Dark Brown Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Loose Curls, augmented breasts, Huggie earrings, cherry matte lipstick, Surrounded by Milk
Orange Satin Slip, Madam, Average Height, in shape, Oval Face, Fair Skin, Auburn Hair, black Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Fishtail Crown Braid, natural breasts, Cuff earrings, light pink sheer lipstick, Drenched in Bubble solution
Black Cutout Bodysuit with Zipper, Charmer, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, silver Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, round breasts, Drop earrings, orange cream lipstick, Immersed in Mud
Cream Sequin Bra and Pant Set, Empress, Short, Thin, Triangular Face, Olive Skin, Brunette Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sock Bun, saggy breasts, Hoop earrings, red matte lipstick, Marinating in Melted chocolate
Plum Satin and Lace Bustier , Queen, Short, in shape, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, hazel Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Layered Bob, asymmetrical breasts, cream stain lipstick, Drenched in Foam
Teal Velvet Chemise with Ruffles , Gal, Short, Thin, Diamond-Shaped Face, Fair Skin, Gray Hair, jade Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, perky breasts, Threader earrings, burgundy metallic lipstick, Soaking in Syrup
Gold Strappy Bodysuit, Gal, Average Height, Firm, Oval Face, Olive Skin, Chestnut Hair, aquamarine Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, natural breasts, Faux gauge earrings, brown gloss lipstick, Steeped in Soda
Silver Silk Bra and Panty Set with Garter Belt, Diva, Average Height, Lean, Triangular Face, Fair Skin, Black Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, High Chignon, asymmetrical breasts, violet gloss lipstick, Surrounded by Foam
Plum Satin and Lace Bustier , Songstress, Average Height, Thin, Oval Face, Olive Skin, Gray Hair, Amber Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Straight Bob, soft breasts, Faux gauge earrings, berry satin lipstick, Immersed in Saltwater
White Sheer Teddy with Lace Trim, Duchess, Short, Fit, Triangular Face, Olive Skin, Chestnut Hair, peach Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Low Ponytail, firm breasts, Threader earrings, burgundy satin lipstick, Saturated in Non-toxic slime
Blue Sheer Babydoll with Satin Trim, Temptress, Average Height, Skinny, Triangular Face, Olive Skin, Platinum Blonde Hair, gold Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Fauxhawk, augmented breasts, rose matte lipstick, Coated in Water
Grey Faux Leather Corset , Mistress, Tall, Lean, Round Face, Olive Skin, Light Brown Hair, amethyst Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Chignon, natural breasts, Huggie earrings, orange satin lipstick, Plunged in Cooking oil
Purple Velvet Robe with Fur Trim , Diva, Tall, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, black Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, French Twist, full breasts, Drop earrings, fuchsia satin lipstick, Plunged in Baby oil
Purple Velvet Bra and Panty Set with Lace Trim, Baroness, Short, in shape, Round Face, Fair Skin, Brunette Hair, Sapphire Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, French Roll, perky breasts, Threader earrings, rust cream lipstick, Engulfed in Gelatin
Silver Silk Bra and Panty Set with Garter Belt, Vixen, Short, Slim, Triangular Face, Fair Skin, Black Hair, hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, High Chignon, perky breasts, Stud earrings, red stain lipstick, Submerged in Soda
Red Satin Babydoll, Starlet, Average Height, Thin, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Tapered Afro, round breasts, Dangle earrings, shimmer metallic lipstick, Coated in Cooking oil
Yellow Lace Halter Bralette and Thong Set, Gal, Tall, in shape, Triangular Face, Fair Skin, Strawberry Blonde Hair, Gray Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Messy Top Knot, natural breasts, hot pink metallic lipstick, Submerged in Cooking oil
Black Mesh Bodysuit with Embroidered Flowers, Visionary, Short, Fit, Round Face, Dark Skin, Blonde Hair, ruby Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Updo, small breasts, Cuff earrings, lavender cream lipstick, Soaking in Saltwater
Mint Green Mesh Teddy , Madame, Short, in shape, Round Face, Olive Skin, Auburn Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Afro, small breasts, Cuff earrings, green stain lipstick, Coated in Gelatin
Purple Velvet Bra and Panty Set with Lace Trim, Lady, Average Height, Fit, Square Face, Dark Skin, Silver Hair, Brown Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, firm breasts, Dangle earrings, hot pink velvet lipstick, Engulfed in Milk
Crimson Velvet Cami and Short Set , Queen, Average Height, Fit, Heart-Shaped Face, Tan Skin, Gray Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, small breasts, Hoop earrings, fuchsia cream lipstick, Marinating in Soda
Lavender Lace Bra and Panty Set , Countess, Short, Wide Hips, Round Face, Tan Skin, Black Hair, hazel Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Braided Half Up, perky breasts, Stud earrings, magenta gloss lipstick, Soaking in Milk
Gold Strappy Bodysuit, Diva, Tall, Fit, Triangular Face, Tan Skin, Red Hair, jade Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fauxhawk, large breasts, Clip-on earrings, golden metallic lipstick, Soaking in Quicksand
Cream Sequin Bra and Pant Set, Superwoman, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Auburn Hair, Brown Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, natural breasts, Huggie earrings, soft pink matte lipstick, Floating in Gelatin
Black Mesh Bodysuit with Embroidered Flowers, Songstress, Short, Toned, Diamond-Shaped Face, Fair Skin, Chestnut Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Double Braided Crown, full breasts, Stud earrings, soft pink sheer lipstick, Saturated in Mud
Navy Blue Satin Garter Belt with Suspenders , Sensation, Short, Toned, Triangular Face, Tan Skin, Dark Brown Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Short Afro, asymmetrical breasts, red velvet lipstick, Engulfed in Mud
Ivory Lace Teddy, Luminary, Short, Wide Hips, Oval Face, Fair Skin, Silver Hair, dark brown Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Long Curled Updo, full breasts, Stud earrings, mauve stain lipstick, Plunged in Cooking oil
Navy Blue Satin Garter Belt with Suspenders , Artist, Short, Toned, Diamond-Shaped Face, Fair Skin, Light Brown Hair, blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Waterfall Braid, augmented breasts, Faux gauge earrings, green sheer lipstick, Marinating in Water
Red Lace Bra and Panty Set with Garter Belt, Woman, Tall, Fit, Oval Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, large breasts, Dangle earrings, black gloss lipstick, Immersed in Baby oil
Yellow Lace Halter Bralette and Thong Set, Starlet, Tall, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, pink Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Fringed Bangs, small breasts, Threader earrings, plum matte lipstick, Soaking in Bubble solution
Blue Satin and Lace Cami and Short Set, Starlet, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Blonde Hair, Brown Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Tapered Afro, saggy breasts, Clip-on earrings, coral sheer lipstick, Plunged in Milk
Green Sequin Slip Dress with Thigh-High Slits, Madame, Average Height, Slim, Oval Face, Olive Skin, Light Brown Hair, amber Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Blunt Cut Bangs, full breasts, Drop earrings, rose satin lipstick, Steeped in Melted chocolate
Red Satin Kimono with Lace Sleeve Detail, Maven, Tall, Skinny, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Formal Updo, round breasts, Threader earrings, pink stain lipstick, Steeped in Saltwater
Black Lace Bustier, Lady, Short, Athletic, Triangular Face, Tan Skin, Chestnut Hair, Hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Straight Bob, natural breasts, Faux gauge earrings, green cream lipstick, Saturated in Glycerin
